Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
COMP	EDM1, EPD1, MED, PSACH, THBS5	ENSG00000105664	Cartilage oligomeric matrix protein	19	18782773-18791314	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA077555			Approved	Golgi apparatus	Renal cancer:1.52e-6 (unfavourable), Colorectal cancer:9.08e-5 (unfavourable), Endometrial cancer:2.04e-4 (unfavourable), Urothelial cancer:6.95e-4 (unfavourable)	Mixed	Tissue enhanced		gallbladder: 24.5	smooth muscle: 18.2	Cell line enriched	5	fHDF/TERT166: 666.2
CORT	MGC32686	ENSG00000241563	Cortistatin	1	10449719-10451902	Predicted secreted proteins	Evidence at transcript level							Mixed	Tissue enriched	24	cerebral cortex: 24.8	placenta: 1.0	Mixed		
CP		ENSG00000047457	Ceruloplasmin	3	149162410-149222055	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001834, CAB008591	Supported				Renal cancer:1.14e-7 (unfavourable)	Tissue enhanced	Tissue enriched	9	liver: 916.0	cervix, uterine: 99.1	Cell line enriched	12	EFO-21: 273.0
CPA1	CPA	ENSG00000091704	Carboxypeptidase A1	7	130380339-130388114	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA021836, CAB025197, HPA052215	Enhanced					Tissue enriched	Tissue enriched	367	pancreas: 48856.8	ovary: 133.1	Cell line enhanced		AN3-CA: 10.9;SCLC-21H: 2.5;U-2 OS: 1.7
CPA2		ENSG00000158516	Carboxypeptidase A2	7	130266827-130289798	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA020342, HPA021317	Enhanced					Tissue enriched	Tissue enriched	104	pancreas: 9283.9	stomach: 89.6	Cell line enhanced		AN3-CA: 2.0;CACO-2: 3.0;RH-30: 2.8;SCLC-21H: 1.9
CPA3		ENSG00000163751	Carboxypeptidase A3	3	148865256-148897196	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA006479, HPA008689, CAB020712	Enhanced					Mixed	Tissue enhanced		gallbladder: 173.9	lung: 126.9	Cell line enriched	46	HEL: 265.9
CPA4	CPA3	ENSG00000128510	Carboxypeptidase A4	7	130293134-130324180	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA021030	Uncertain		Approved	Nucleoplasm<br>Centrosome<br>Cytosol	Urothelial cancer:1.31e-4 (unfavourable)	Tissue enhanced	Tissue enriched	7	skin: 67.8	esophagus: 10.0	Cell line enhanced		LHCN-M2: 238.0;U-2 OS: 159.5;U-87 MG: 268.2
CPA6	CPAH	ENSG00000165078	Carboxypeptidase A6	8	67422038-67746385	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		prostate: 4.9;rectum: 2.9	colon: 1.7	Cell line enhanced		CACO-2: 2.9;EFO-21: 1.8;Hep G2: 3.6
CPAMD8	K-CAP, KIAA1283, VIP	ENSG00000160111	C3 and PZP like, alpha-2-macroglobulin domain containing 8	19	16892947-17026815	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA031327, HPA031328, HPA031330	Uncertain					Mixed	Tissue enhanced		prostate: 25.1;seminal vesicle: 52.1	lung: 22.8	Group enriched	10	BEWO: 18.7;EFO-21: 11.7;T-47d: 32.2
CPB1		ENSG00000153002	Carboxypeptidase B1	3	148791102-148860187	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB026158, HPA038069, HPA046340	Enhanced					Group enriched	Tissue enriched	312	pancreas: 47292.1	ovary: 151.6	Cell line enhanced		HDLM-2: 1.0;U-2 OS: 1.7
CPB2	CPU, PCPB, TAFI	ENSG00000080618	Carboxypeptidase B2	13	46053186-46105076	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA004146	Approved				Liver cancer:2.06e-4 (favourable)	Tissue enriched	Tissue enriched	28	liver: 755.5	lung: 26.5	Cell line enriched	66	Hep G2: 117.8
CPE		ENSG00000109472	Carboxypeptidase E	4	165361194-165498320	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA003819, CAB024907	Supported		Approved	Nucleoplasm<br>Vesicles<br>Centrosome	Urothelial cancer:2.12e-4 (unfavourable), Renal cancer:2.60e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 1560.8	Group enriched	5	Hep G2: 211.8;SCLC-21H: 493.5;SH-SY5Y: 147.0;SiHa: 668.1
CPM		ENSG00000135678	Carboxypeptidase M	12	68842197-68971570	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA002657, HPA077243	Uncertain		Uncertain	Vesicles	Endometrial cancer:1.00e-4 (favourable)	Expressed in all	Tissue enhanced		adipose tissue: 164.0	placenta: 101.2	Cell line enhanced		ASC diff: 48.8;ASC TERT1: 35.1;HSkMC: 66.3;SiHa: 73.7
CPN1		ENSG00000120054	Carboxypeptidase N subunit 1	10	100042193-100081877	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA040323			Approved	Nucleus<br>Nucleoli		Group enriched	Tissue enriched	22	liver: 37.1	testis: 1.7	Cell line enriched	16	SK-MEL-30: 110.4
CPN2	ACBP	ENSG00000178772	Carboxypeptidase N subunit 2	3	194339765-194351328	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA004732	Uncertain				Liver cancer:2.05e-4 (favourable), Renal cancer:4.59e-4 (unfavourable)	Tissue enriched	Tissue enriched	7	liver: 113.6	kidney: 15.6	Cell line enriched	17	Hep G2: 41.9
CPO		ENSG00000144410	Carboxypeptidase O	2	206939554-206969474	Enzymes, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	14	small intestine: 131.5	epididymis: 9.3	Not detected		
CPQ	LDP, PGCP	ENSG00000104324	Carboxypeptidase Q	8	96645227-97149654	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA023235, HPA024490	Enhanced		Supported	Golgi apparatus<br>Vesicles	Renal cancer:5.40e-5 (favourable), Glioma:9.75e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 382.5	Cell line enhanced		ASC TERT1: 92.2
CPVL		ENSG00000106066	Carboxypeptidase, vitellogenic like	7	28995231-29195451	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB003697, HPA045715, HPA056466	Enhanced		Supported	Endoplasmic reticulum	Endometrial cancer:8.56e-6 (unfavourable), Urothelial cancer:4.99e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 301.8	Cell line enhanced		BEWO: 183.9;RPTEC TERT1: 604.1
CPXM1	CPX-1, CPX1, CPXM	ENSG00000088882	Carboxypeptidase X, M14 family member 1	20	2794069-2800637	Enzymes, Predicted secreted proteins	Evidence at protein level						Renal cancer:4.62e-10 (unfavourable)	Expressed in all	Tissue enhanced		endometrium: 130.4;gallbladder: 132.2	urinary bladder: 75.0	Group enriched	5	AF22: 158.5;HSkMC: 62.0;NB-4: 92.9;NTERA-2: 34.2;REH: 136.3;SH-SY5Y: 113.9
CPXM2	CPX2, UNQ676	ENSG00000121898	Carboxypeptidase X, M14 family member 2	10	123706207-123940267	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA048375	Uncertain				Renal cancer:9.02e-4 (favourable)	Expressed in all	Tissue enhanced		epididymis: 72.6;smooth muscle: 80.7	urinary bladder: 34.4	Group enriched	15	BJ: 15.4;fHDF/TERT166: 55.4
CPZ		ENSG00000109625	Carboxypeptidase Z	4	8592660-8619759	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		ovary: 121.5	placenta: 58.0	Cell line enhanced		BEWO: 63.6;BJ: 32.8;BJ hTERT+: 42.2;RH-30: 54.5;U-2197: 38.2
CR1L		ENSG00000197721	Complement C3b/C4b receptor 1 like	1	207645113-207738416	Predicted secreted proteins	Evidence at protein level	HPA049348	Approved					Tissue enhanced	Not detected			bone marrow: 0.8	Group enriched	8	HEL: 1.1;HMC-1: 2.6;K-562: 1.4
CRB1	LCA8, RP12	ENSG00000134376	Crumbs 1, cell polarity complex component	1	197268204-197478455	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA061250, HPA063127	Approved		Uncertain	Vesicles		Tissue enriched	Group enriched	10	cerebral cortex: 12.2;testis: 5.0	ovary: 0.8	Cell line enriched	5	HeLa: 9.0
CRB2	FLJ16786, FLJ38464	ENSG00000148204	Crumbs 2, cell polarity complex component	9	123356170-123380324	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA043674	Supported					Group enriched	Tissue enhanced		cerebral cortex: 9.4	kidney: 2.0	Cell line enriched	7	AF22: 32.2
CREG1	CREG	ENSG00000143162	Cellular repressor of E1A stimulated genes 1	1	167529677-167553767	Predicted secreted proteins	Evidence at protein level	HPA056390			Approved	Vesicles<br>Microtubules		Expressed in all	Expressed in all			thyroid gland: 209.5	Expressed in all		
CREG2		ENSG00000175874	Cellular repressor of E1A stimulated genes 2	2	101345551-101387595	Predicted secreted proteins	Evidence at protein level	HPA038224	Enhanced					Mixed	Tissue enriched	164	cerebral cortex: 90.9	fallopian tube: 0.5	Cell line enhanced		CACO-2: 2.0;HaCaT: 5.6;HeLa: 1.6;PC-3: 2.3
CRELD1	AVSD2	ENSG00000163703	Cysteine rich with EGF like domains 1	3	9933822-9945413	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA026964	Uncertain		Approved	Nucleoli<br>Cytosol	Glioma:6.05e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 65.6	Expressed in all		
CRELD2	MGC11256	ENSG00000184164	Cysteine rich with EGF like domains 2	22	49918167-49927540	Predicted secreted proteins	Evidence at protein level	HPA000603, CAB025604	Approved				Renal cancer:1.34e-9 (unfavourable), Endometrial cancer:2.42e-7 (favourable)	Expressed in all	Expressed in all			thyroid gland: 94.2	Expressed in all		
CRH	CRF, CRH1	ENSG00000147571	Corticotropin releasing hormone	8	66176382-66178725	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA046846, HPA062111	Uncertain	Supported				Tissue enriched	Tissue enhanced		cerebral cortex: 2.1;placenta: 8.0	adipose tissue: 1.2	Not detected		
CRHBP	CRF-BP, CRFBP	ENSG00000145708	Corticotropin releasing hormone binding protein	5	76952713-76981158	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA046120	Approved					Tissue enhanced	Tissue enhanced		liver: 69.9;spleen: 42.2	kidney: 30.2	Cell line enhanced		BJ hTERT+ SV40 Large T+: 3.2;BJ hTERT+ SV40 Large T+ RasG12V: 3.3;HBF TERT88: 6.0;U-698: 4.8;U-87 MG: 3.6;WM-115: 3.2
CRHR1	CRF-R, CRF1, CRHR	ENSG00000120088	Corticotropin releasing hormone receptor 1	17	45784280-45835828	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB025251	Approved					Mixed	Tissue enhanced		cerebral cortex: 4.0	endometrium: 0.8	Cell line enhanced		RT4: 2.7;SH-SY5Y: 2.2
CRHR2	CRF-RB, CRF2, HM-CRF	ENSG00000106113	Corticotropin releasing hormone receptor 2	7	30651943-30700129	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046683	Uncertain					Not detected	Tissue enhanced		seminal vesicle: 1.7	cerebral cortex: 1.2	Not detected		
CRISP1	AEGL1, ARP, CRISP-1, HSCRISP1D, HSCRISP1G, HUMARP	ENSG00000124812	Cysteine rich secretory protein 1	6	49834257-49877096	Predicted secreted proteins	Evidence at protein level	HPA028445, HPA030534	Enhanced					Not detected	Tissue enriched	20	epididymis: 1915.6	seminal vesicle: 96.7	Cell line enhanced		NB-4: 1.7
CRISP2	CRISP-2, CT36, GAPDL5, TPX1	ENSG00000124490	Cysteine rich secretory protein 2	6	49692358-49713590	Predicted secreted proteins	Evidence at protein level	HPA031248	Enhanced					Mixed	Tissue enriched	43	testis: 853.2	fallopian tube: 19.7	Not detected		
CRISP3	Aeg2, CRISP-3, CRS3, dJ442L6.3, SGP28	ENSG00000096006	Cysteine rich secretory protein 3	6	49727384-49744437	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA054392	Supported					Group enriched	Tissue enhanced		fallopian tube: 1885.2;salivary gland: 915.8	esophagus: 288.4	Group enriched	59	HEL: 11.2;RT4: 3.3;SK-BR-3: 6.9;T-47d: 4.2
CRISPLD2	DKFZP434B044, LCRISP2, LGL1	ENSG00000103196	Cysteine rich secretory protein LCCL domain containing 2	16	84819984-84920768	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA030054, HPA030055	Approved		Approved	Nucleus<br>Nucleoli	Renal cancer:1.97e-6 (unfavourable)	Expressed in all	Expressed in all			placenta: 174.3	Cell line enhanced		BEWO: 66.9;HHSteC: 135.7;HSkMC: 49.5
CRLF1	CISS, CISS1, CLF, CLF-1	ENSG00000006016	Cytokine receptor like factor 1	19	18572220-18607741	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA041493, HPA041793	Approved				Renal cancer:3.96e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 17.2;placenta: 16.8	adipose tissue: 10.1	Group enriched	8	ASC diff: 706.3;Hep G2: 309.6
CRP	PTX1	ENSG00000132693	C-reactive protein	1	159712289-159714589	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB005036, HPA027367, HPA027396	Supported				Renal cancer:4.17e-10 (unfavourable)	Tissue enriched	Group enriched	67	gallbladder: 172.9;liver: 532.1	endometrium: 5.2	Cell line enhanced		EFO-21: 5.9;HDLM-2: 5.8;U-2 OS: 4.4;U-266/84: 7.5
CRTAC1	ASPIC1, CEP-68, FLJ10320	ENSG00000095713	Cartilage acidic protein 1	10	97865000-98030828	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA008175	Enhanced				Endometrial cancer:5.01e-6 (unfavourable), Urothelial cancer:1.51e-4 (favourable), Renal cancer:1.85e-4 (favourable)	Tissue enhanced	Tissue enhanced		cerebral cortex: 51.0;fallopian tube: 63.6;lung: 76.3;seminal vesicle: 48.1	urinary bladder: 12.8	Cell line enhanced		HUVEC TERT2: 6.0;SCLC-21H: 5.6;SK-MEL-30: 6.3;TIME: 8.0
CRTAP	CASP, LEPREL3, P3H5	ENSG00000170275	Cartilage associated protein	3	33113979-33147773	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA043598, HPA044150	Approved		Approved	Intermediate filaments<br>Actin filaments<br>Cytosol		Expressed in all	Expressed in all			cervix, uterine: 197.9	Expressed in all		
CRY2		ENSG00000121671	Cryptochrome circadian clock 2	11	45847118-45883248	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA037577	Supported		Supported	Nuclear speckles<br>Cytosol	Renal cancer:6.44e-15 (favourable), Liver cancer:6.82e-5 (favourable), Colorectal cancer:1.67e-4 (unfavourable), Pancreatic cancer:4.39e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 56.2	Expressed in all		
CSAD	CSD, PCAP	ENSG00000139631	Cysteine sulfinic acid decarboxylase	12	53157663-53180909	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA039487	Approved				Renal cancer:1.93e-6 (unfavourable), Urothelial cancer:6.81e-6 (favourable), Liver cancer:1.37e-4 (favourable), Pancreatic cancer:3.39e-4 (favourable), Head and neck cancer:6.33e-4 (favourable), Colorectal cancer:9.50e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 70.7	Cell line enhanced		ASC diff: 57.9;T-47d: 49.5
CSF1	M-CSF, MCSF, MGC31930	ENSG00000184371	Colony stimulating factor 1	1	109910242-109930992	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level						Renal cancer:1.00e-11 (unfavourable), Liver cancer:4.25e-5 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 66.6	Cell line enhanced		ASC diff: 146.1;HHSteC: 271.2;HSkMC: 150.5
CSF1R	C-FMS, CD115, CSFR, FMS	ENSG00000182578	Colony stimulating factor 1 receptor	5	150053291-150113372	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB008970, HPA012323	Uncertain		Supported	Vesicles<br>Plasma membrane	Renal cancer:1.08e-4 (unfavourable), Testis cancer:4.92e-4 (unfavourable)	Expressed in all	Mixed			spleen: 147.7	Group enriched	6	BEWO: 118.6;SK-BR-3: 35.4
CSF2	GM-CSF, GMCSF	ENSG00000164400	Colony stimulating factor 2	5	132073790-132076170	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA057404, HPA062006			Enhanced	Vesicles		Mixed	Tissue enhanced		lung: 3.0	urinary bladder: 0.9	Cell line enhanced		BJ hTERT+: 74.1;hTEC/SVTERT24-B: 20.9
CSF2RA	CD116, CSF2R	ENSG00000198223	Colony stimulating factor 2 receptor alpha subunit	X	1268800-1310381	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB016148	Uncertain				Cervical cancer:2.38e-5 (favourable), Head and neck cancer:2.81e-4 (favourable), Testis cancer:5.53e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 93.3	appendix: 34.6	Group enriched	8	BEWO: 187.1;HMC-1: 51.2;SK-MEL-30: 109.5
CSF3	C17orf33, G-CSF, GCSF, MGC45931	ENSG00000108342	Colony stimulating factor 3	17	40015361-40017813	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level						Endometrial cancer:8.45e-4 (favourable)	Mixed	Tissue enhanced		appendix: 19.1;cervix, uterine: 38.2	adipose tissue: 10.3	Cell line enhanced		BJ hTERT+: 57.2;hTEC/SVTERT24-B: 34.2;U-87 MG: 265.0
CSH1	CSA, CSMT, FLJ75407, hCS-A, PL	ENSG00000136488	Chorionic somatomammotropin hormone 1	17	63894909-63896661	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB026374, HPA043715	Enhanced					Tissue enriched	Tissue enriched	211	placenta: 13487.0	smooth muscle: 63.9	Cell line enriched	6	BEWO: 11.1
CSH2	CS-2, CSB, hCS-B	ENSG00000213218	Chorionic somatomammotropin hormone 2	17	63872012-63873766	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA043715	Supported					Tissue enhanced	Tissue enriched	193	placenta: 3932.3	smooth muscle: 20.4	Cell line enriched	27	BEWO: 7.7
CSHL1	CS-5, CSHP1, CSL, hCS-L, MGC149868	ENSG00000204414	Chorionic somatomammotropin hormone like 1	17	63909597-63918838	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB025646, HPA043715	Enhanced					Not detected	Tissue enriched	352	placenta: 216.7	smooth muscle: 0.6	Not detected		
CSN1S1	CASA, CSN1	ENSG00000126545	Casein alpha s1	4	69931081-69946574	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA035659, HPA057031	Enhanced					Tissue enriched	Tissue enriched	85	breast: 1600.9	adipose tissue: 18.9	Not detected		
CSN2	CASB	ENSG00000135222	Casein beta	4	69955256-69961007	Predicted secreted proteins	Evidence at protein level	HPA041036	Supported					Tissue enriched	Tissue enriched	348	breast: 347.6	salivary gland: 0.9	Not detected		
