"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"CTSA",70,"D5","IOH29615",1443,"0",NA,"cathepsin A (CTSA), transcript variant 2, mRNA.","NM_001127695.1","NP_001121167.1",5476,"Hs.609336","GSL, PPGB","ENSG00000064601","Cathepsin A","20","45890144-45898820","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB024930, HPA031068","Enhanced",NA,"Enhanced","Vesicles","Liver cancer:1.95e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"adrenal gland: 243.4","Expressed in all",NA,NA
"CTSA",127,"G1","IOH4244",1440,"0",NA,"cathepsin A, mRNA (cDNA clone MGC:1994 IMAGE:3346150), complete cds","BC000597.2","AAH00597.1",5476,"Hs.609336","GSL, PPGB","ENSG00000064601","Cathepsin A","20","45890144-45898820","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB024930, HPA031068","Enhanced",NA,"Enhanced","Vesicles","Liver cancer:1.95e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"adrenal gland: 243.4","Expressed in all",NA,NA
"CTSB",11,"A7","IOH10210",1020,"0",NA,"cathepsin B, mRNA (cDNA clone MGC:17266 IMAGE:4154307), complete cds","BC010240.1","AAH10240.1",1508,"Hs.520898",NA,"ENSG00000164733","Cathepsin B","8","11842524-11869448","Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB000457, HPA018156","Uncertain",NA,"Supported","Nucleoli<br>Vesicles","Thyroid cancer:5.76e-4 (favourable), Urothelial cancer:9.02e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 2894.5","Expressed in all",NA,NA
"CTSB",129,"C6","IOH53785",1020,"0",NA,"cathepsin B (CTSB), transcript variant 1, mRNA.","NM_001908.3","NP_001899.1",1508,"Hs.520898",NA,"ENSG00000164733","Cathepsin B","8","11842524-11869448","Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB000457, HPA018156","Uncertain",NA,"Supported","Nucleoli<br>Vesicles","Thyroid cancer:5.76e-4 (favourable), Urothelial cancer:9.02e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 2894.5","Expressed in all",NA,NA
"CTSC",70,"G4","IOH29634",1392,"0",NA,"cathepsin C (CTSC), transcript variant 1, mRNA.","NM_001814.4","NP_001805.3",1075,"Hs.128065","DPP1, PALS, PLS","ENSG00000109861","Cathepsin C","11","88293592-88337787","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB025364, HPA066610, HPA068434","Enhanced",NA,"Supported","Vesicles","Liver cancer:9.30e-5 (unfavourable), Renal cancer:4.80e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"lung: 390.4","Expressed in all",NA,NA
"CTSC",107,"A10","IOH41180",414,"0",NA,"cathepsin C (CTSC), transcript variant 2, mRNA.","NM_148170.3","NP_680475.1",1075,"Hs.128065","DPP1, PALS, PLS","ENSG00000109861","Cathepsin C","11","88293592-88337787","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB025364, HPA066610, HPA068434","Enhanced",NA,"Supported","Vesicles","Liver cancer:9.30e-5 (unfavourable), Renal cancer:4.80e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"lung: 390.4","Expressed in all",NA,NA
"CTSD",51,"B2","IOH14300",1239,"0",NA,"cathepsin D (CTSD), mRNA.","NM_001909.3","NP_001900.1",1509,"Hs.121575","CLN10, CPSD","ENSG00000117984","Cathepsin D","11","1752752-1764573","Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB000109, HPA003001","Enhanced",NA,NA,NA,"Renal cancer:4.93e-5 (favourable), Colorectal cancer:2.46e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lung: 1026.9","Expressed in all",NA,NA
"CTSE",131,"D1","IOH55345",1449,"0",NA,"Synthetic construct Homo sapiens clone IMAGE:100016336, MGC:184278 Unknown (protein for MGC:184278) (LOC283874) mRNA, encodes complete protein.","BC153046.1","AAI53047.1",1510,"Hs.644082",NA,"ENSG00000196188","Cathepsin E","1","206009264-206023909","Enzymes, Predicted secreted proteins","Evidence at protein level","HPA012940, CAB032687","Enhanced",NA,NA,NA,"Urothelial cancer:5.26e-5 (favourable)","Group enriched","Group enriched",9,"duodenum: 229.1;stomach: 1121.8","lung: 74.6","Group enriched",7,"BEWO: 20.3;RT4: 32.6"
"CTSE",75,"F4","IOH27398",1191,"0",NA,"cathepsin E (CTSE), transcript variant 1, mRNA.","NM_001910.2","NP_001901.1",1510,"Hs.644082",NA,"ENSG00000196188","Cathepsin E","1","206009264-206023909","Enzymes, Predicted secreted proteins","Evidence at protein level","HPA012940, CAB032687","Enhanced",NA,NA,NA,"Urothelial cancer:5.26e-5 (favourable)","Group enriched","Group enriched",9,"duodenum: 229.1;stomach: 1121.8","lung: 74.6","Group enriched",7,"BEWO: 20.3;RT4: 32.6"
"CTSF",81,"G8","IOH13840",1455,"0",NA,"cathepsin F (CTSF), mRNA.","NM_003793.3","NP_003784.2",8722,"Hs.11590","CATSF, CLN13","ENSG00000174080","Cathepsin F","11","66563463-66568841","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB002141, HPA031431, HPA055610","Approved",NA,"Approved","Vesicles<br>Plasma membrane<br>Cytosol","Renal cancer:8.92e-7 (favourable)","Expressed in all","Expressed in all",NA,NA,"ovary: 140.6","Cell line enhanced",NA,"SK-MEL-30: 123.6"
"CTSG",19,"G1","IOH13616",768,"0",NA,"cathepsin G (CTSG), mRNA.","NM_001911.2","NP_001902.1",1511,"Hs.421724","CG","ENSG00000100448","Cathepsin G","14","24573522-24576260","Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB000110, HPA047737","Enhanced",NA,NA,NA,"Head and neck cancer:1.57e-4 (favourable), Urothelial cancer:8.91e-4 (unfavourable)","Mixed","Tissue enriched",84,"bone marrow: 3457.0","gallbladder: 41.2","Cell line enriched",6,"THP-1: 6055.4"
"CTSH",132,"G4","IOH29767",1008,"0",NA,"cathepsin H (CTSH), transcript variant 1, mRNA.","NM_004390.3","NP_004381.2",1512,"Hs.148641","ACC-4, ACC-5, ACC4, ACC5, CPSB","ENSG00000103811","Cathepsin H","15","78921058-78949574","Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB000458, HPA003524","Enhanced",NA,"Supported","Vesicles<br>Cytosol<br>Cytoplasmic bodies","Endometrial cancer:6.90e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"lung: 570.6","Cell line enhanced",NA,"CAPAN-2: 219.5;HaCaT: 161.7;RT4: 558.6"
"CTSK",19,"H1","IOH14212",990,"0",NA,"cathepsin K (CTSK), mRNA.","NM_000396.2","NP_000387.1",1513,"Hs.632466","CTSO, CTSO2, PKND, PYCD","ENSG00000143387","Cathepsin K","1","150796208-150808323","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA050346",NA,NA,"Supported","Vesicles","Renal cancer:7.12e-5 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"cervix, uterine: 575.0","Group enriched",6,"ASC diff: 1592.3;ASC TERT1: 590.6;BJ hTERT+: 1576.7"
"CTSS",133,"C10","IOH53925",996,"0",NA,"cathepsin S (CTSS), mRNA.","NM_004079.3","NP_004070.3",1520,"Hs.181301",NA,"ENSG00000163131","Cathepsin S","1","150730196-150765957","Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB000460, HPA002988","Supported",NA,"Approved","Vesicles",NA,"Expressed in all","Expressed in all",NA,NA,"spleen: 374.8","Cell line enhanced",NA,"HMC-1: 238.0;U-698: 410.8"
"CTSS",88,"A5","IOH5299",996,"0",NA,"cathepsin S, mRNA (cDNA clone MGC:3886 IMAGE:3610589), complete cds","BC002642.2","AAH02642.1",1520,"Hs.181301",NA,"ENSG00000163131","Cathepsin S","1","150730196-150765957","Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB000460, HPA002988","Supported",NA,"Approved","Vesicles",NA,"Expressed in all","Expressed in all",NA,NA,"spleen: 374.8","Cell line enhanced",NA,"HMC-1: 238.0;U-698: 410.8"
"CTSZ",117,"F9","IOH28012",912,"0",NA,"cathepsin Z (CTSZ), mRNA.","NM_001336.3","NP_001327.2",1522,"Hs.252549","CTSX","ENSG00000101160","Cathepsin Z","20","58995185-59007247","Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB025114, HPA049876, HPA053504","Supported",NA,"Supported","Vesicles","Renal cancer:5.72e-5 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lung: 476.8","Cell line enhanced",NA,"fHDF/TERT166: 693.2"
"CX3CL1",73,"C5","IOH4580",1194,"NP_002987.1","NP_002987.1","chemokine (C-X3-C motif) ligand 1 (CX3CL1), mRNA.","NM_002996.3","NP_002987.1",6376,"Hs.531668","ABCD-3, C3Xkine, CXC3, CXC3C, fractalkine, neurotactin, NTN, SCYD1","ENSG00000006210","C-X3-C motif chemokine ligand 1","16","57372458-57385048","Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB026192, HPA040361","Approved",NA,"Supported","Plasma membrane","Renal cancer:8.52e-7 (favourable), Cervical cancer:9.46e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"cerebral cortex: 100.1","lung: 69.3","Cell line enhanced",NA,"EFO-21: 28.0;HDLM-2: 78.9;Hep G2: 42.9;RPTEC TERT1: 27.3"
"CXADR",11,"H6","IOH10207",1098,"NP_001329.1","NP_001329.1","coxsackie virus and adenovirus receptor (CXADR), mRNA.","NM_001338.3","NP_001329.1",1525,"Hs.634837","CAR","ENSG00000154639","Coxsackie virus and adenovirus receptor","21","17512382-17593579","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA003342, CAB005103, HPA030411, HPA030412","Enhanced",NA,"Enhanced","Plasma membrane<br>Cell Junctions","Head and neck cancer:3.50e-4 (favourable)","Expressed in all","Mixed",NA,NA,"skin: 59.1","Cell line enhanced",NA,"CACO-2: 77.2;NTERA-2: 105.2;RT4: 82.7"
"CXCL1",47,"D11","IOH10429",324,"0",NA,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA.","NM_001511.1","NP_001502.1",2919,"Hs.789","FSP, GRO1, GROa, MGSA, MGSA-a, NAP-3, SCYB1","ENSG00000163739","C-X-C motif chemokine ligand 1","4","73869393-73871242","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:1.60e-4 (unfavourable), Liver cancer:2.91e-4 (unfavourable), Cervical cancer:7.23e-4 (unfavourable), Breast cancer:7.83e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"cervix, uterine: 178.6;spleen: 112.8","urinary bladder: 92.0","Group enriched",7,"BJ hTERT+: 658.8;EFO-21: 1914.4;RPTEC TERT1: 559.0"
"CXCL10",2,"F2","IOH13677",297,"0",NA,"chemokine (C-X-C motif) ligand 10 (CXCL10), mRNA.","NM_001565.2","NP_001556.2",3627,"Hs.632586","C7, crg-2, gIP-10, IFI10, INP10, IP-10, mob-1, SCYB10","ENSG00000169245","C-X-C motif chemokine ligand 10","4","76021117-76023497","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:1.16e-6 (unfavourable), Ovarian cancer:1.12e-5 (favourable), Pancreatic cancer:4.61e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"appendix: 129.4","lymph node: 72.5","Cell line enhanced",NA,"BJ hTERT+: 4.9;BJ hTERT+ SV40 Large T+: 2.0;BJ hTERT+ SV40 Large T+ RasG12V: 2.1;RPMI-8226: 2.9;THP-1: 2.0"
"CXCL11",77,"H3","IOH7289",285,"0",NA,"chemokine (C-X-C motif) ligand 11 (CXCL11), mRNA.","NM_005409.3","NP_005400.1",6373,"Hs.632592","b-R1, H174, I-TAC, IP-9, SCYB11, SCYB9B","ENSG00000169248","C-X-C motif chemokine ligand 11","4","76033682-76041415","Predicted secreted proteins","Evidence at protein level","CAB009921","Uncertain",NA,NA,NA,"Ovarian cancer:4.31e-7 (favourable), Renal cancer:3.29e-6 (unfavourable), Pancreatic cancer:8.18e-5 (unfavourable)","Expressed in all","Tissue enhanced",NA,"appendix: 13.5","lymph node: 11.5","Group enriched",6,"BJ hTERT+: 2.4;BJ hTERT+ SV40 Large T+: 4.3;BJ hTERT+ SV40 Large T+ RasG12V: 4.7"
"CXCL12",104,"H2","IOH40945",282,"0",NA,"chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1) (CXCL12), transcript variant 2, mRNA.","NM_000609.4","NP_000600.1",6387,"Hs.522891","PBSF, SCYB12, SDF-1a, SDF-1b, SDF1, SDF1A, SDF1B, TLSF-a, TLSF-b, TPAR1","ENSG00000107562","C-X-C motif chemokine ligand 12","10","44370165-44386493","Predicted secreted proteins","Evidence at protein level","CAB017564","Approved",NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"endometrium: 618.3","Cell line enhanced",NA,"ASC diff: 349.6;BJ hTERT+ SV40 Large T+ RasG12V: 429.9;fHDF/TERT166: 388.7;HSkMC: 941.2"
"CXCL13",45,"B3","IOH14282",330,"0",NA,"chemokine (C-X-C motif) ligand 13 (CXCL13), mRNA.","NM_006419.2","NP_006410.1",10563,"Hs.100431","ANGIE, ANGIE2, BCA-1, BLC, BLR1L, SCYB13","ENSG00000156234","C-X-C motif chemokine ligand 13","4","77511753-77611834","Cancer-related genes, Predicted secreted proteins","Evidence at protein level","HPA052613","Uncertain",NA,NA,NA,"Renal cancer:1.16e-10 (unfavourable), Ovarian cancer:5.41e-4 (favourable), Endometrial cancer:5.52e-4 (favourable), Colorectal cancer:9.12e-4 (favourable)","Expressed in all","Group enriched",7,"appendix: 163.3;lymph node: 599.9;spleen: 423.8;tonsil: 395.7","urinary bladder: 57.9","Cell line enhanced",NA,"U-266/70: 1.0"
"CXCL14",35,"A6","IOH5492",336,"0",NA,"chemokine (C-X-C motif) ligand 14 (CXCL14), mRNA.","NM_004887.4","NP_004878.2",9547,"Hs.483444","BMAC, bolekine, BRAK, Kec, KS1, MIP-2g, NJAC, SCYB14","ENSG00000145824","C-X-C motif chemokine ligand 14","5","135570679-135579279","Predicted secreted proteins","Evidence at protein level","CAB029996","Uncertain",NA,NA,NA,"Cervical cancer:1.71e-4 (favourable), Colorectal cancer:4.52e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"skin: 874.5","kidney: 335.8","Group enriched",12,"HAP1: 60.3;hTCEpi: 55.4;RPTEC TERT1: 157.5;U-2 OS: 88.6"
"CXCL17",105,"H9","IOH43349",360,"0",NA,"chemokine (C-X-C motif) ligand 17 (CXCL17), mRNA.","NM_198477.1","NP_940879.1",284340,"Hs.445586","Dcip1, DMC, UNQ473, VCC1","ENSG00000189377","C-X-C motif chemokine ligand 17","19","42428288-42443048","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Lung cancer:4.92e-5 (favourable), Pancreatic cancer:4.63e-4 (unfavourable)","Mixed","Tissue enhanced",NA,"lung: 193.5;stomach: 289.7","esophagus: 83.1","Cell line enhanced",NA,"RT4: 1.8"
"CXCL2",90,"B4","IOH13606",324,"0",NA,"chemokine (C-X-C motif) ligand 2 (CXCL2), mRNA.","NM_002089.3","NP_002080.1",2920,"Hs.75765","CINC-2a, GRO2, GROb, MGSA-b, MIP-2a, SCYB2","ENSG00000081041","C-X-C motif chemokine ligand 2","4","74097035-74099293","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:2.07e-6 (unfavourable), Breast cancer:5.93e-5 (favourable), Cervical cancer:1.41e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"liver: 110.2","lung: 95.2","Cell line enhanced",NA,"BJ hTERT+: 38.3;HHSteC: 26.8;hTCEpi: 24.9;hTEC/SVTERT24-B: 24.7;hTERT-HME1: 25.6;U-87 MG: 27.5"
"CXCL3",19,"B9","IOH12905",324,"0",NA,"chemokine (C-X-C motif) ligand 3 (CXCL3), mRNA.","NM_002090.2","NP_002081.2",2921,"Hs.89690","CINC-2b, GRO3, GROg, MIP-2b, SCYB3","ENSG00000163734","C-X-C motif chemokine ligand 3","4","74036589-74038807","Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Cervical cancer:2.33e-4 (unfavourable)","Tissue enhanced","Tissue enhanced",NA,"adipose tissue: 26.9;cervix, uterine: 33.6","appendix: 20.3","Cell line enhanced",NA,"BJ hTERT+: 39.2;hTEC/SVTERT24-B: 75.0;RPTEC TERT1: 32.7"
"CXCL5",41,"G6","IOH7295",345,"0",NA,"chemokine (C-X-C motif) ligand 5 (CXCL5), mRNA.","NM_002994.3","NP_002985.1",6374,"Hs.89714","ENA-78, SCYB5","ENSG00000163735","C-X-C motif chemokine ligand 5","4","73995642-73998779","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA065474","Approved",NA,NA,NA,"Renal cancer:2.45e-5 (unfavourable), Liver cancer:1.39e-4 (unfavourable), Pancreatic cancer:2.23e-4 (unfavourable), Cervical cancer:3.43e-4 (unfavourable)","Tissue enhanced","Tissue enhanced",NA,"appendix: 47.7","urinary bladder: 15.5","Cell line enhanced",NA,"A549: 165.3;EFO-21: 141.1;HSkMC: 77.3;hTEC/SVTERT24-B: 78.0;RPTEC TERT1: 436.4"
"CXCL6",33,"B9","IOH10758",345,"0",NA,"chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2) (CXCL6), mRNA.","NM_002993.3","NP_002984.1",6372,"Hs.164021","CKA-3, GCP-2, SCYB6","ENSG00000124875","C-X-C motif chemokine ligand 6","4","73836497-73849064","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:4.82e-4 (unfavourable)","Mixed","Tissue enhanced",NA,"gallbladder: 50.3;spleen: 112.9","urinary bladder: 32.4","Group enriched",6,"BJ hTERT+: 36.7;EFO-21: 100.3;hTEC/SVTERT24-B: 22.6;HUVEC TERT2: 59.0;RPTEC TERT1: 62.9"
"CXCL9",138,"H12","IOH57247",378,"0",NA,"chemokine (C-X-C motif) ligand 9 (CXCL9), mRNA.","NM_002416.1","NP_002407.1",4283,"Hs.77367","CMK, crg-10, Humig, MIG, SCYB9","ENSG00000138755","C-X-C motif chemokine ligand 9","4","76001275-76007488","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:5.15e-6 (unfavourable), Endometrial cancer:2.07e-4 (favourable), Breast cancer:6.36e-4 (favourable), Ovarian cancer:8.06e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"lymph node: 327.4","appendix: 86.2","Not detected",NA,NA
"CYHR1",126,"D8","IOH6572",579,"NP_116076.1","NP_116076.1","cysteine/histidine-rich 1 (CYHR1), transcript variant 2, mRNA.","NM_032687.3","NP_116076.1",50626,"Hs.459379","CHRP, KIAA0496, MGC13010","ENSG00000187954","Cysteine and histidine rich 1","8","144449582-144465677","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA053653, HPA059543","Approved",NA,"Enhanced","Nucleoplasm","Colorectal cancer:1.05e-4 (unfavourable), Liver cancer:3.90e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"testis: 51.4","Expressed in all",NA,NA
"CYP17A1",109,"A6","IOH39857",1527,"0",NA,"cytochrome P450, family 17, subfamily A, polypeptide 1 (CYP17A1), mRNA.","NM_000102.3","NP_000093.1",1586,"Hs.438016","CPT7, CYP17, P450C17, S17AH","ENSG00000148795","Cytochrome P450 family 17 subfamily A member 1","10","102830531-102837533","Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA048533","Enhanced",NA,NA,NA,"Renal cancer:5.43e-7 (favourable)","Tissue enriched","Tissue enriched",25,"adrenal gland: 3751.4","testis: 152.4","Cell line enhanced",NA,"HMC-1: 2.6;SCLC-21H: 1.3"
"CYP20A1",43,"F4","IOH21873",1389,"0",NA,"cytochrome P450, family 20, subfamily A, polypeptide 1, mRNA (cDNA clone MGC:45025 IMAGE:5211537), complete cds","BC033752.1","AAH33752.1",57404,"Hs.446065","CYP-M","ENSG00000119004","Cytochrome P450 family 20 subfamily A member 1","2","203238940-203305611","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA055872, HPA058461","Uncertain",NA,"Approved","Plasma membrane<br>Cell Junctions<br>Actin filaments",NA,"Expressed in all","Mixed",NA,NA,"thyroid gland: 16.4","Mixed",NA,NA
